Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
2125 W Pierce Ave APT 3C,,Sold,Condo,308000,06/30/20,2,1,No Data,N,280,1924
2028 W Le Moyne St #1E,,Sold,Condo,1050000,11/16/18,4,4,No Data,Y,296,2018
1535 N Wicker Park Ave,,Sold,Condo,382500,10/29/18,3,2,,Y,100,1966
1542 N Wood St #D,,Sold,Condo,470000,06/10/18,2,2.,,Y,125,1896
1346 N Claremont Ave #1S,,Sold,N/A,683400,05/07/19,4,3,No Data,N/A,N/A,N/A
1517 N Elk Grove Ave,,Sold,Single Family,680000,05/17/20,,--,,N,100,Data
2017 W Evergreen Ave APT 101,,Sold,Condo,550000,05/20/20,2,3,1700,Y,302,1883
1520 N Elk Grove Ave,,Sold,Multi Family,600000,09/16/19,4,2,No Data,Y,N/A,1887
1215 N Honore St APT 3,,Sold,Condo,350000,02/28/19,2,1,1100,Y,88,1996
1261 N Paulina St APT 8,,Sold,Condo,665000,11/13/18,3,2,2200,Y,614,1913
1517 N Paulina St #3R,,Sold,Condo,350000,12/01/19,2,1.,,N,246,2013
2144 W Schiller St UNIT I,,Sold,Condo,475000,08/10/20,2,2,No Data,Y,258,2006
1259 N Wood St APT 201,,Sold,Condo,450000,01/15/20,2,2,1150,Y,356,2017
1722 W Beach Ave #2,,Sold,Multi Family,585000,08/15/19,3,3,2300,Y,125,2002
1630 W Julian St #2,,Sold,Condo,440000,07/07/19,2,2,1250,Y,198,2007
1742 W Julian St #2,,Sold,Apartment,2000,07/24/19,1,1,,Y,N/A,Data
2140 W Division St APT 3,,Sold,Condo,530000,07/27/20,3,2,1700,Y,240,2005
1656 W Beach Ave #1,,Sold,Townhouse,700000,01/28/20,3,3,2000,Y,N/A,1997
1713 W Beach Ave #3-N,,Sold,Condo,418000,08/29/18,2,2,1200,Y,300,1889
1720 W Ellen St #1,,Sold,Condo,721000,05/22/18,,--,,N,N/A,Data
1635 W Beach Ave #2,,Sold,Multi Family,28800,06/10/19,2,1.,,Y,N/A,1997
2026 W Pierce Ave #6,,Sold,Condo,500000,07/04/18,3,2,,Y,N/A,2001
1735 W Julian St #2,,Sold,Condo,685000,08/21/19,3,3,2040,Y,170,2007
1532 N Wood St #3,,Sold,Condo,520000,05/02/19,2,2,1200,Y,176,2002
1945 W Evergreen Ave APT 1R,,Sold,Condo,536500,10/16/19,2,2,1600,Y,353,1886
2239 W North Ave APT 4B,,Sold,Condo,530000,05/03/19,2,2,1571,Y,230,2004
